epoch,training_loss
1,1.2923674753904342
2,1.3029212895393372
3,1.2898649885177613
4,1.2910157915592193
5,1.291897402739525
6,1.286360319519043
7,1.2983051123857499
8,1.2907833490610123
9,1.3014600640296936
10,1.2954328127384185
11,1.294667185974121
12,1.2911283937215805
13,1.2865879675388336
14,1.298851662826538
15,1.2897569953441619
16,1.299311732339859
17,1.2858497423171997
18,1.2839252040863036
19,1.2928462571620942
20,1.2939718429803848
